mu_B,pressure,energy_density
1004.20000,7.99166,178.69409
1004.30000,8.01026,178.83727
1004.40000,8.02887,178.98032
1004.50000,8.04750,179.12331
1004.60000,8.06614,179.26616
1004.70000,8.08479,179.40894
1004.80000,8.10346,179.55151
1004.90000,8.12214,179.69397
1005.00000,8.14084,179.83635
1005.10000,8.15955,179.97857
1005.20000,8.17828,180.12063
1005.30000,8.19702,180.26260
1005.40000,8.21577,180.40446
1005.50000,8.23454,180.54625
1005.60000,8.25332,180.68794
1005.70000,8.27212,180.82946
1005.80000,8.29093,180.97078
1005.90000,8.30975,181.11201
1006.00000,8.32859,181.25314
1006.10000,8.34744,181.39421
1006.20000,8.36631,181.53516
1006.30000,8.38519,181.67605
1006.40000,8.40408,181.81685
1006.50000,8.42299,181.95757
1006.60000,8.44191,182.09814
1006.70000,8.46085,182.23857
1006.80000,8.47980,182.37883
1006.90000,8.49876,182.51901
1007.00000,8.51774,182.65909
1007.10000,8.53673,182.79910
1007.20000,8.55574,182.93897
1007.30000,8.57476,183.07878
1007.40000,8.59379,183.21838
1007.50000,8.61284,183.35793
1007.60000,8.63190,183.49736
1007.70000,8.65097,183.63672
1007.80000,8.67006,183.77598
1007.90000,8.68917,183.91511
1008.00000,8.70828,184.05412
1008.10000,8.72741,184.19306
1008.20000,8.74656,184.33187
1008.30000,8.76571,184.47054
1008.40000,8.78489,184.60909
1008.50000,8.80407,184.74757
1008.60000,8.82327,184.88593
1008.70000,8.84248,185.02422
1008.80000,8.86171,185.16241
1008.90000,8.88095,185.30042
1009.00000,8.90020,185.43833
1009.10000,8.91947,185.57619
1009.20000,8.93875,185.71397
1009.30000,8.95805,185.85165
1009.40000,8.97735,185.98925
1009.50000,8.99668,186.12672
1009.60000,9.01601,186.26410
1009.70000,9.03536,186.40132
1009.80000,9.05472,186.53838
1009.90000,9.07410,186.67530
1010.00000,9.09349,186.81214
1010.10000,9.11289,186.94891
1010.20000,9.13231,187.08563
1010.30000,9.15174,187.22222
1010.40000,9.17118,187.35876
1010.50000,9.19064,187.49523
1010.60000,9.21011,187.63155
1010.70000,9.22960,187.76772
1010.80000,9.24910,187.90376
1010.90000,9.26861,188.03978
1011.00000,9.28813,188.17567
1011.10000,9.30767,188.31154
1011.20000,9.32722,188.44726
1011.30000,9.34679,188.58282
1011.40000,9.36637,188.71837
1011.50000,9.38596,188.85376
1011.60000,9.40556,188.98905
1011.70000,9.42518,189.12421
1011.80000,9.44481,189.25926
1011.90000,9.46446,189.39424
1012.00000,9.48412,189.52908
1012.10000,9.50379,189.66389
1012.20000,9.52348,189.79854
1012.30000,9.54317,189.93316
1012.40000,9.56289,190.06768
1012.50000,9.58261,190.20214
1012.60000,9.60235,190.33651
1012.70000,9.62210,190.47073
1012.80000,9.64187,190.60489
1012.90000,9.66164,190.73890
1013.00000,9.68144,190.87281
1013.10000,9.70124,191.00666
1013.20000,9.72106,191.14037
1013.30000,9.74089,191.27399
1013.40000,9.76073,191.40754
1013.50000,9.78059,191.54110
1013.60000,9.80046,191.67448
1013.70000,9.82035,191.80777
1013.80000,9.84024,191.94099
1013.90000,9.86015,192.07405
1014.00000,9.88008,192.20704
1014.10000,9.90001,192.33989
1014.20000,9.91996,192.47259
1014.30000,9.93992,192.60524
1014.40000,9.95990,192.73780
1014.50000,9.97989,192.87031
1014.60000,9.99989,193.00272
1014.70000,10.01990,193.13509
1014.80000,10.03993,193.26736
1014.90000,10.05997,193.39951
1015.00000,10.08003,193.53160
1015.10000,10.10009,193.66352
1015.20000,10.12017,193.79541
1015.30000,10.14027,193.92717
1015.40000,10.16037,194.05886
1015.50000,10.18049,194.19041
1015.60000,10.20062,194.32192
1015.70000,10.22077,194.45333
1015.80000,10.24092,194.58463
1015.90000,10.26109,194.71585
1016.00000,10.28128,194.84692
1016.10000,10.30147,194.97786
1016.20000,10.32168,195.10878
1016.30000,10.34191,195.23964
1016.40000,10.36214,195.37049
1016.50000,10.38239,195.50116
1016.60000,10.40265,195.63180
1016.70000,10.42292,195.76231
1016.80000,10.44321,195.89272
1016.90000,10.46351,196.02303
